Date,Product,Quantity,Price
2024-06-17,D,7,200
2024-05-23,D,3,200
2024-05-08,B,9,450
2024-06-19,A,9,300
2024-06-21,A,4,300
2024-05-18,B,8,450
2024-06-14,B,10,450
2024-05-17,A,4,300
2024-06-16,C,9,150
2024-05-15,A,2,300
2024-05-28,A,3,300
2024-06-30,A,4,300
2024-06-09,A,1,300
2024-06-25,C,8,150
2024-06-01,D,7,200
2024-05-04,D,7,200
2024-06-15,D,1,200
2024-05-19,A,5,300
2024-06-16,D,7,200
2024-05-08,A,3,300
2024-06-20,C,2,150
2024-05-04,A,1,300
2024-05-14,D,5,200
2024-06-17,D,2,200
2024-05-03,B,7,450
2024-05-22,B,2,450
2024-06-07,D,9,200
2024-06-21,A,5,300
2024-05-02,D,7,200
2024-05-15,B,1,450
2024-05-24,D,6,200
2024-05-26,D,6,200
2024-05-21,C,10,150
2024-06-26,A,10,300
2024-06-26,D,3,200
2024-05-12,D,10,200
2024-06-18,B,1,450
2024-05-05,B,3,450
2024-05-30,A,6,300
2024-05-30,B,9,450
2024-06-10,C,4,150
2024-06-27,C,1,150
2024-06-15,C,4,150
2024-06-18,B,7,450
2024-06-27,A,8,300
2024-05-07,C,7,150
2024-05-03,C,2,150
2024-05-20,C,1,150
2024-06-28,C,5,150
2024-05-31,B,4,450
2024-05-29,D,8,200
2024-05-02,C,7,150
2024-05-29,B,5,450
2024-06-01,D,2,200
2024-05-14,B,4,450
2024-05-27,D,4,200
2024-06-23,B,9,450
2024-06-28,D,4,200
2024-05-09,D,2,200
2024-05-31,A,1,300
2024-06-22,A,7,300
2024-05-10,D,2,200
2024-06-21,A,9,300
2024-06-02,D,2,200
2024-05-20,D,9,200
2024-06-06,C,9,150
2024-06-18,B,8,450
2024-05-13,D,3,200
2024-06-01,C,6,150
2024-06-16,A,10,300
2024-05-18,A,9,300
2024-05-04,B,3,450
2024-06-07,D,5,200
2024-05-05,D,5,200
2024-06-16,C,8,150
2024-05-28,A,6,300
2024-05-30,D,10,200
2024-06-03,A,10,300
2024-06-30,D,8,200
2024-06-23,B,8,450
2024-06-28,A,4,300
2024-06-12,D,10,200
2024-05-19,C,5,150
2024-05-13,A,2,300
2024-05-29,C,2,150
2024-05-27,C,3,150
2024-05-07,B,4,450
2024-05-12,D,3,200
2024-06-07,A,6,300
2024-06-21,C,7,150
2024-06-10,C,10,150
2024-06-21,A,4,300
2024-06-29,B,4,450
2024-05-17,C,2,150
2024-06-22,B,10,450
2024-05-10,B,3,450
2024-06-20,B,1,450
2024-05-30,A,6,300
2024-06-17,D,10,200
2024-05-07,B,6,450
2024-05-29,A,8,300
